CUI1|CUI2
C0001957|C0029997
C0001957|C0032910
C0001957|C0700528
C0001957|C0770393
C0001973|C0008845
C0001973|C0012772
C0001973|C0025497
C0001973|C0027360
C0001973|C0061851
C0001973|C0284941
C0001973|C0355800
C0001973|C0592789
C0001973|C0700478
C0001973|C0700543
C0001973|C0724555
C0001973|C4762536
C0002063|C0003765
C0002063|C0052327
C0002063|C0301556
C0002063|C2699543
C0002063|C2699547
C0002063|C2937701
C0002170|C0026196
C0002170|C0060389
C0002170|C0066576
C0002170|C0982111
C0002170|C4316853
C0002351|C0000981
C0002351|C0304713
C0002395|C0016967
C0002395|C0025242
C0002395|C0036579
C0002395|C0039245
C0002395|C0042291
C0002395|C0042874
C0002395|C0063033
C0002395|C0077030
C0002395|C0078373
C0002395|C0078375
C0002395|C0527316
C0002395|C0649350
C0002395|C0700467
C0002395|C0724348
C0002395|C0724349
C0002395|C0771182
C0002395|C0771848
C0002395|C0771988
C0002395|C0772415
C0002395|C0949312
C0002395|C0982437
C0002395|C0994472
C0002395|C1323100
C0002395|C1999896
C0002395|C2697593
C0002395|C2697594
C0002395|C3162633
C0002395|C3282847
C0002395|C4043101
C0002395|C5245409
C0002395|C5455414
C0002438|C0008269
C0002438|C0013974
C0002438|C0025872
C0002438|C0029274
C0002438|C0030576
C0002438|C0040263
C0002438|C0055447
C0002438|C0205881
C0002438|C0282162
C0002438|C0282239
C0002438|C0353490
C0002438|C0700447
C0002438|C1383389
C0002453|C0006230
C0002453|C0023610
C0002453|C0025147
C0002453|C0028360
C0002453|C0033308
C0002453|C0044971
C0002453|C0045010
C0002453|C0065864
C0002453|C0068992
C0002453|C0546852
C0002453|C0701918
C0002453|C0701919
C0002453|C0770351
C0002453|C0873071
C0002453|C1120952
C0002453|C2746305
C0002726|C0001047
C0002726|C0009262
C0002726|C0772506
C0002726|C0887741
C0002726|C3857933
C0002726|C4283417
C0002736|C0070694
C0002736|C0073379
C0002792|C0001636
C0002792|C0014563
C0002792|C0017687
C0002792|C0033405
C0002792|C0059446
C0002792|C0059447
C0002792|C0546876
C0002792|C0700536
C0002792|C0772132
C0002792|C0795614
C0002792|C0876232
C0002792|C0982139
C0002792|C0982361
C0002831|C0001911
C0002831|C0025023
C0002831|C0034235
C0002831|C0034237
C0002831|C0034238
C0002871|C0015099
C0002871|C0027368
C0002871|C0030072
C0002871|C0068395
C0002871|C0068397
C0002871|C0257928
C0002871|C0357126
C0002871|C0887557
C0002871|C0937950
C0002871|C1328071
C0002871|C4086553
C0002871|C4694938
C0002871|C5211093
C0002874|C1831905
C0002874|C1880492
C0002878|C0032950
C0002878|C0040864
C0002878|C0040866
C0002878|C0040867
C0002878|C0042874
C0002878|C0071839
C0002878|C0071842
C0002878|C0071844
C0002878|C0077004
C0002878|C0078373
C0002878|C0078375
C0002878|C0138273
C0002878|C0138274
C0002878|C0724348
C0002878|C0724349
C0002878|C0889299
C0002878|C0982437
C0002878|C0994472
C0002878|C1323100
C0002878|C1999896
C0002878|C2697593
C0002878|C2697594
C0002878|C3162633
C0002878|C3282847
C0002878|C5245409
C0002880|C0010583
C0002880|C0032952
C0002880|C0085297
C0002880|C0724564
C0002880|C1880207
C0002884|C0060228
C0002888|C0016410
C0002888|C0023413
C0002888|C0304894
C0002888|C0731033
C0002888|C2825462
C0002888|C2828271
C0002888|C2939773
C0002888|C3855806
C0002888|C3859156
C0002892|C0020316
C0002892|C0042845
C0002892|C0065844
C0002892|C0086024
C0002892|C0771561
C0002892|C0991811
C0002892|C4529725
C0002893|C0004475
C0002895|C0718066
C0002895|C4723629
C0002896|C0004475
C0002962|C0000946
C0002962|C0002711
C0002962|C0004147
C0002962|C0005116
C0002962|C0014758
C0002962|C0015824
C0002962|C0017887
C0002962|C0022251
C0002962|C0022252
C0002962|C0022860
C0002962|C0025859
C0002962|C0027302
C0002962|C0030350
C0002962|C0030812
C0002962|C0030858
C0002962|C0031937
C0002962|C0033497
C0002962|C0038742
C0002962|C0040233
C0002962|C0041536
C0002962|C0053799
C0002962|C0054836
C0002962|C0055021
C0002962|C0064079
C0002962|C0073633
C0002962|C0087093
C0002962|C0091724
C0002962|C0116569
C0002962|C0132512
C0002962|C0282292
C0002962|C0282321
C0002962|C0286185
C0002962|C0286186
C0002962|C0350132
C0002962|C0543447
C0002962|C0543473
C0002962|C0605028
C0002962|C0699440
C0002962|C0700461
C0002962|C0700475
C0002962|C0700548
C0002962|C0700606
C0002962|C0724633
C0002962|C0724707
C0002962|C0770909
C0002962|C1095897
C0002962|C1564716
C0002962|C1815010
C0002962|C1874267
C0002962|C2983887
C0002963|C0012373
C0002963|C0015772
C0002963|C0028005
C0002963|C0028066
C0002963|C0028116
C0002963|C0042523
C0002963|C0051696
C0002963|C0071304
C0002963|C0282138
C0002963|C0354468
C0002963|C0700468
C0002963|C0700579
C0002963|C0770150
C0002963|C0982121
C0002963|C5195719
C0002965|C0019134
C0002965|C0037513
C0002965|C0054452
C0002965|C0168273
C0002965|C0206232
C0002965|C0206460
C0002965|C0206461
C0002965|C0247025
C0002965|C0253563
C0002965|C0282471
C0002965|C0288672
C0002965|C0724579
C0002965|C0770546
C0002965|C0771246
C0002965|C0772394
C0002965|C0795668
C0002965|C0982192
C0002965|C1445698
C0002965|C4684933
C0002986|C1137427
C0002986|C2698220
C0002986|C2698221
C0002994|C0008929
C0002994|C0016366
C0002994|C0054672
C0002994|C0057606
C0002994|C0137440
C0002994|C0304300
C0002994|C0546858
C0002994|C1170742
C0002994|C1331203
C0003123|C0025175
C0003123|C0039663
C0003123|C0065879
C0003123|C0771537
C0003175|C0008809
C0003175|C0013090
C0003175|C0026186
C0003175|C0026187
C0003175|C0030827
C0003175|C0030829
C0003175|C0030830
C0003175|C0037540
C0003175|C0058731
C0003175|C0282104
C0003175|C0282155
C0003175|C0700451
C0003175|C0700462
C0003175|C0700553
C0003175|C0771046
C0003175|C0771947
C0003175|C2699808
C0003175|C4059023
C0003175|C4059024
C0003175|C4224790
C0003257|C0020852
C0003257|C0085297
C0003257|C0360506
C0003257|C1703576
C0003257|C2702333
C0003257|C4734962
C0003257|C4765802
C0003257|C5136863
C0003257|C5196221
C0003405|C0073214
C0003460|C0024730
C0003460|C0301383
C0003467|C0006863
C0003467|C0043513
C0003467|C0076660
C0003467|C0917859
C0003469|C0002640
C0003469|C0004963
C0003469|C0005013
C0003469|C0006213
C0003469|C0006462
C0003469|C0008174
C0003469|C0008188
C0003469|C0008223
C0003469|C0008286
C0003469|C0009025
C0003469|C0009033
C0003469|C0009073
C0003469|C0011279
C0003469|C0012258
C0003469|C0012265
C0003469|C0012522
C0003469|C0013085
C0003469|C0020404
C0003469|C0023044
C0003469|C0024002
C0003469|C0025051
C0003469|C0025386
C0003469|C0025678
C0003469|C0026056
C0003469|C0028420
C0003469|C0029997
C0003469|C0032910
C0003469|C0033229
C0003469|C0033230
C0003469|C0033231
C0003469|C0033473
C0003469|C0037479
C0003469|C0039763
C0003469|C0039855
C0003469|C0040979
C0003469|C0054120
C0003469|C0062092
C0003469|C0076341
C0003469|C0076784
C0003469|C0245561
C0003469|C0282144
C0003469|C0304299
C0003469|C0304375
C0003469|C0304381
C0003469|C0304520
C0003469|C0355077
C0003469|C0546872
C0003469|C0600110
C0003469|C0607673
C0003469|C0700444
C0003469|C0700457
C0003469|C0700459
C0003469|C0700528
C0003469|C0700535
C0003469|C0700539
C0003469|C0700559
C0003469|C0770393
C0003469|C0770888
C0003469|C0771516
C0003469|C0772255
C0003469|C0939882
C0003469|C1178484
C0003469|C1505020
C0003486|C0077158
C0003490|C0002335
C0003492|C0002335
C0003578|C0002575
C0003578|C0006644
C0003578|C0039771
C0003578|C0054436
C0003578|C0055578
C0003578|C0304441
C0003578|C0600347
C0003578|C0771352
C0003578|C1271551
C0003578|C3472162
C0003615|C0066005
C0003615|C1881787
C0003811|C0002334
C0003811|C0002598
C0003811|C0012702
C0003811|C0015824
C0003811|C0016229
C0003811|C0016986
C0003811|C0023660
C0003811|C0025887
C0003811|C0026289
C0003811|C0030040
C0003811|C0030350
C0003811|C0032896
C0003811|C0033216
C0003811|C0033429
C0003811|C0034414
C0003811|C0034415
C0003811|C0037707
C0003811|C0054636
C0003811|C0058012
C0003811|C0072869
C0003811|C0079856
C0003811|C0082966
C0003811|C0084273
C0003811|C0085237
C0003811|C0085251
C0003811|C0086303
C0003811|C0114771
C0003811|C0123053
C0003811|C0282044
C0003811|C0543459
C0003811|C0546869
C0003811|C0600311
C0003811|C0605028
